country_or_area,year,value,category
Bulgaria,2014,3807.666139,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Canada,2014,39407.11087,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Croatia,2014,1621.473053,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Cyprus,2014,330.5656784,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Czech Republic,2014,6660.693978,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Denmark,2014,5084.611876,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Estonia,2014,819.5290495,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
European Union,2014,239890.1665,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Finland,2014,4626.445294,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
France,2014,43031.33925,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Germany,2014,38780.29,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Greece,2014,4686.089887,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Hungary,2014,4503.559567,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Iceland,2014,467.9760357,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ireland,2014,6985.060397,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Italy,2014,18584.72885,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Japan,2014,20848.32988,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Latvia,2014,1911.518681,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Liechtenstein,2014,9.965026344,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Lithuania,2014,3124.491738,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Luxembourg,2014,296.0110032,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Malta,2014,68.22638725,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Netherlands,2014,7815.382362,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
New Zealand,2014,9065.964885,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Norway,2014,2530.79308,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Poland,2014,19746.42413,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Portugal,2014,3409.624009,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Romania,2014,7033.441874,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Russian Federation,2014,90157.23016,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovakia,2014,2335.550444,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Slovenia,2014,758.8448184,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Spain,2014,16499.62854,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Sweden,2014,4884.129546,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Switzerland,2014,2452.849492,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Turkey,2014,23282.70867,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Ukraine,2014,35593.6515,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United Kingdom,2014,21645.89692,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
United States of America,2014,403501.4571,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent
Australia,2014,192.5359906,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Austria,2014,53.028514,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Belgium,2014,306.9644112,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Bulgaria,2014,0.032885848,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Canada,2014,1088.036843,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Croatia,2014,0.059536,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Czech Republic,2014,5.341939021,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Denmark,2014,8.663835971,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
European Union,2014,3486.249428,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Finland,2014,10.30386864,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
France,2014,591.7123945,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Germany,2014,234.2301279,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Greece,2014,134.6336963,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Hungary,2014,1.961157681,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Iceland,2014,99.03294952,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Ireland,2014,9.004010101,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Italy,2014,1564.344333,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Japan,2014,3361.425307,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Liechtenstein,2014,0.04177826,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Malta,2014,1.10E-06,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Netherlands,2014,93.21027104,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
New Zealand,2014,73.41003868,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Norway,2014,178.9204288,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Poland,2014,13.90326863,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Portugal,2014,12.5911314,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Romania,2014,6.3449,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Russian Federation,2014,3097.897064,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Slovakia,2014,11.14750059,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Slovenia,2014,15.22146326,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Spain,2014,66.1053475,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Sweden,2014,81.69793877,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Switzerland,2014,43.88361431,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
United Kingdom,2014,278.314969,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
United States of America,2014,5582.94173,perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Australia,2014,129.605354,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Austria,2014,312.9596646,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Belarus,2014,2.426946,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Belgium,2014,95.21830217,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Bulgaria,2014,15.61610035,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Canada,2014,362.6316193,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Croatia,2014,6.8416872,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Cyprus,2014,0.148329618,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Czech Republic,2014,96.01476611,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Denmark,2014,132.9591151,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Estonia,2014,2.100390629,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
European Union,2014,6140.886628,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Finland,2014,34.25063652,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
France,2014,470.9470552,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Germany,2014,3396.171636,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Greece,2014,4.921542857,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Hungary,2014,104.0968316,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Iceland,2014,2.215704,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Ireland,2014,46.28960962,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Italy,2014,353.5480533,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Japan,2014,2064.413245,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Latvia,2014,8.577903643,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Liechtenstein,2014,0.116052,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Lithuania,2014,5.9760396,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Luxembourg,2014,8.440939563,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Malta,2014,0.584662201,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Netherlands,2014,134.5879353,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
New Zealand,2014,17.8296,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Norway,2014,54.74016608,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Poland,2014,52.78620119,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Portugal,2014,30.64554186,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Romania,2014,51.78116981,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Russian Federation,2014,799.428306,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Slovakia,2014,14.1683858,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Slovenia,2014,15.52097802,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Spain,2014,207.4442838,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Sweden,2014,46.61812622,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Switzerland,2014,258.8423195,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
Ukraine,2014,16.4088828,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
United Kingdom,2014,468.1624178,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
United States of America,2014,7348.782775,sulphur_hexafluoride_sf6_emissions_in_kilotonne_co2_equivalent
European Union,2014,151.948998,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
Germany,2014,151.948998,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
United States of America,2014,9449.891683,unspecified_mix_of_hydrofluorocarbons_hfcs_and_perfluorocarbons_pfcs_emissions_in_kilotonne_co2_equivalent
